!SIL	sil
0	l iŋ_2
000001	l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 y au_1
000001	l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 y ii_1
000002	l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 ər_4
000100	l iŋ_2 l iŋ_2 l iŋ_2 y au_1 l iŋ_2 l iŋ_2
000100	l iŋ_2 l iŋ_2 l iŋ_2 y ii_1 l iŋ_2 l iŋ_2
000157	l iŋ_2 l iŋ_2 l iŋ_2 y au_1 w uu_3 q ii_1
000157	l iŋ_2 l iŋ_2 l iŋ_2 y ii_1 w uu_3 q ii_1
000511	l iŋ_2 l iŋ_2 l iŋ_2 w uu_3 y au_1 y au_1
000511	l iŋ_2 l iŋ_2 l iŋ_2 w uu_3 y au_1 y ii_1
000511	l iŋ_2 l iŋ_2 l iŋ_2 w uu_3 y ii_1 y au_1
000511	l iŋ_2 l iŋ_2 l iŋ_2 w uu_3 y ii_1 y ii_1
000709	l iŋ_2 l iŋ_2 l iŋ_2 q ii_1 l iŋ_2 j i əu_3
000725	l iŋ_2 l iŋ_2 l iŋ_2 q ii_1 ər_4 w uu_3
000768	l iŋ_2 l iŋ_2 l iŋ_2 q ii_1 l i əu_4 b a_1
000776	l iŋ_2 l iŋ_2 l iŋ_2 q ii_1 q ii_1 l i əu_4
000783	l iŋ_2 l iŋ_2 l iŋ_2 q ii_1 b a_1 s an_1
000858	l iŋ_2 l iŋ_2 l iŋ_2 b a_1 w uu_3 b a_1
002024	l iŋ_2 l iŋ_2 ər_4 l iŋ_2 ər_4 s iii_4
002306	l iŋ_2 l iŋ_2 ər_4 s an_1 l iŋ_2 l i əu_4
0393	l iŋ_2 s an_1 j i əu_3 s an_1
0708	l iŋ_2 q ii_1 l iŋ_2 b a_1
0t	l iŋ_2 t ii_4
0u	l iŋ_2 y əu_1
0度经线	l iŋ_2 d uu_4 j iŋ_1 x i an_4
1	y ii_1
1000	y ii_4 l iŋ_2 l iŋ_2 l iŋ_2
100分	y ii_4 b ai_3 f ən_1
100天	y au_1 l iŋ_2 l iŋ_2 t i an_1
100种表情	y ii_1 b ai_3 zh uŋ_3 b i au_3 q iŋ_2
101只斑点狗	y ii_1 l iŋ_2 y ii_1 zh iii_1 b an_1 d i an_2 g əu_3
101号宠物恋人	y ii_1 l iŋ_2 y ii_1 h au_4 ch uŋ_3 w uu_4 l i an_4 ʒ ən_2
101斑点狗	y au_1 l iŋ_2 y au_1 b an_1 d i an_2 g əu_3
101次求婚	y au_1 l iŋ_2 y au_1 ts iii_4 q i əu_2 h u ən_1
101空降师	y ii_1 l iŋ_2 y ii_1 k uŋ_1 j i aŋ_4 sh iii_1
1020	y au_1 l iŋ_2 ər_4 l iŋ_2
1020	y ii_1 l iŋ_2 ər_4 l iŋ_2
1020	y ii_1 q i an_1 l iŋ_2 ər_4 sh iii_2
1020	y ii_4 l iŋ_2 ər_4 l iŋ_2
102斑点狗	y ii_1 l iŋ_2 ər_4 b an_1 d i an_2 g əu_3
1046	y au_1 l iŋ_2 s iii_4 l i əu_4
1046	y ii_1 l iŋ_2 s iii_4 l i əu_4
1046	y ii_1 q i an_1 l iŋ_2 s iii_4 sh iii_2 l i əu_4
1046	y ii_4 l iŋ_2 s iii_4 l i əu_4
1050	y au_1 l iŋ_2 w uu_3 l iŋ_2
1050	y ii_1 l iŋ_2 w uu_3 l iŋ_2
1050	y ii_1 q i an_1 l iŋ_2 w uu_3 sh iii_2
1050	y ii_4 l iŋ_2 w uu_3 l iŋ_2
1068夜航班	y au_1 l iŋ_2 l i əu_4 b a_1 y ie_4 h aŋ_2 b an_1
1080p	y au_1 l iŋ_2 b a_1 l iŋ_2 p ii_4
1080p	y ii_1 l iŋ_2 b a_1 l iŋ_2 p ii_4
1080p	y ii_4 l iŋ_2 b a_1 l iŋ_2 p ii_4
1083	y au_1 l iŋ_2 b a_1 s an_1
1083	y ii_1 l iŋ_2 b a_1 s an_1
1083	y ii_1 q i an_1 l iŋ_2 b a_1 sh iii_2 s an_1
1083	y ii_4 l iŋ_2 b a_1 s an_1
1083	y ii_4 q i an_1 l iŋ_2 b a_1 sh iii_2 s an_1
108将	y ii_1 l iŋ_2 b a_1 j i aŋ_1
10k	sh iii_2 k ei_4
10k	y au_1 l iŋ_2 k ei_4
10k	y ii_1 l iŋ_2 k ei_4
10k	y ii_4 l iŋ_2 k ei_4
10q	sh iii_2 k i əu_4
10q	y au_1 l iŋ_2 k i əu_4
10q	y ii_1 l iŋ_2 k i əu_4
10q	y ii_4 l iŋ_2 k i əu_4
10大	sh iii_2 d a_4
110003	y au_1 y au_1 l iŋ_2 l iŋ_2 l iŋ_2 s an_1
110003	y au_1 y ii_1 l iŋ_2 l iŋ_2 l iŋ_2 s an_1
110003	y ii_1 y au_1 l iŋ_2 l iŋ_2 l iŋ_2 s an_1
110003	y ii_1 y ii_1 l iŋ_2 l iŋ_2 l iŋ_2 s an_1
1114	y ii_1 y ii_1 y ii_1 s iii_4
11处特工皇妃	sh iii_2 y ii_1 ch uu_4 t ə_4 g uŋ_1 h u aŋ_2 f ei_1
11对战平台	y au_1 y au_1 d u ei_4 zh an_4 p iŋ_2 t ai_2
1200	y au_1 ər_4 l iŋ_2 l iŋ_2
1200	y ii_1 q i an_1 ər_4 b ai_3
1200	y ii_1 ər_4 l iŋ_2 l iŋ_2
1200	y ii_4 q i an_1 ər_4 b ai_3
1200	y ii_4 ər_4 l iŋ_2 l iŋ_2
1202	y au_1 ər_4 l iŋ_2 ər_4
1202	y ii_1 q i an_1 ər_4 b ai_3 l iŋ_2 ər_4
1202	y ii_1 ər_4 l iŋ_2 ər_4
1202	y ii_4 q i an_1 ər_4 b ai_3 l iŋ_2 ər_4
1202	y ii_4 ər_4 l iŋ_2 ər_4
120师	y au_1 ər_4 l iŋ_2 sh iii_1
1232	y ii_1 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 ər_4
1232	y ii_1 ər_4 s an_1 ər_4
1232	y ii_4 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 ər_4
1232	y ii_4 ər_4 s an_1 ər_4
1233	y au_1 ər_4 s an_1 s an_1
1233	y ii_1 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 s an_1
1233	y ii_1 ər_4 s an_1 s an_1
1233	y ii_4 q i an_1 ər_4 b ai_3 s an_1 sh iii_2 s an_1
1233	y ii_4 ər_4 s an_1 s an_1
1234567	y ii_1 b ai_3 ər_4 sh iii_2 s an_1 w an_4 s iii_4 q i an_1 w uu_3 b ai_3 l i əu_4 sh iii_2 q ii_1
