genre,title,artist,duration,url
electronic,Прослушать МУЗЫКА В МАШИНУ – КАЙФУЙ,МУЗЫКА В МАШИНУ,03:26,https://zaycev.net/pages/248770/24877033.shtml
electronic,Прослушать Дискотека Авария – Два океана,Дискотека Авария,03:54,https://zaycev.net/pages/117756/11775601.shtml
electronic,Прослушать Турбомода – Каникулы,Турбомода,04:41,https://zaycev.net/pages/230493/23049364.shtml
electronic,Прослушать МУЗЫКА В МАШИНУ – РАЗРЫВНАЯ,МУЗЫКА В МАШИНУ,03:00,https://zaycev.net/pages/248728/24872851.shtml
electronic,Прослушать Various Artists – Asphalt,Various Artists,04:32,https://zaycev.net/pages/247665/24766594.shtml
electronic,Прослушать DJ PULYA – ТАНЦЫ (ТАНЦЕВАЛЬНАЯ МУЗЫКА 2024),DJ PULYA,02:35,https://zaycev.net/pages/249804/24980477.shtml
electronic,Прослушать Qwizar Wols – Ангел,Qwizar Wols,03:19,https://zaycev.net/pages/249759/24975937.shtml
electronic,Прослушать Subbota – Где-то там x,Subbota,02:25,https://zaycev.net/pages/249833/24983381.shtml
electronic,Прослушать Tsipak KPSS – Kirat,Tsipak KPSS,05:30,https://zaycev.net/pages/247709/24770929.shtml
electronic,Прослушать Элджей – Drake,Элджей,02:06,https://zaycev.net/pages/249597/24959791.shtml
electronic,Прослушать Razus – Руки Вверх (ЛУЧШАЯ МУЗЫКА 2023),Razus,03:03,https://zaycev.net/pages/249447/24944773.shtml
electronic,Прослушать Subbota – Земля людей,Subbota,03:23,https://zaycev.net/pages/250106/25010626.shtml
electronic,Прослушать DJ DEEP MIX – TAKE A CHANCE (МУЗЫКА В МАШИНУ),DJ DEEP MIX,03:14,https://zaycev.net/pages/249649/24964942.shtml
electronic,Прослушать Subbota – Каменное сердце,Subbota,03:24,https://zaycev.net/pages/249603/24960371.shtml
electronic,Прослушать Subbota – Иди сюда x,Subbota,03:00,https://zaycev.net/pages/249995/24999503.shtml
electronic,Прослушать Юлия Беретта – Душа,Юлия Беретта,03:36,https://zaycev.net/pages/249053/24905375.shtml
electronic,Прослушать Various Artists – Inplex - Meant to Be  (Original Mix),Various Artists,06:29,https://zaycev.net/pages/249295/24929547.shtml
electronic,Прослушать Yudzhin Tech – Пушка (ЛУЧШАЯ МУЗЫКА 2023),Yudzhin Tech,03:18,https://zaycev.net/pages/249447/24944777.shtml
electronic,Прослушать Lalok – A4,Lalok,03:30,https://zaycev.net/pages/247010/24701036.shtml
electronic,Прослушать 5sta Family – В июле,5sta Family,03:07,https://zaycev.net/pages/249994/24999415.shtml
electronic,Прослушать Митя Фомин – Быть собой (DJ Zhukovsky Remix),Митя Фомин,02:25,https://zaycev.net/pages/249046/24904667.shtml
electronic,Прослушать Nifiant – Can't Believe,Nifiant,02:52,https://zaycev.net/pages/249750/24975002.shtml
electronic,Прослушать Various Artists – Яшибез бит яшибез,Various Artists,04:03,https://zaycev.net/pages/119406/11940618.shtml
electronic,Прослушать МУЗЫКА В МАШИНУ – ГДЕ-ТО ТАМ,МУЗЫКА В МАШИНУ,02:31,https://zaycev.net/pages/249995/24999502.shtml
electronic,Прослушать Qwizar Wols – Фонк Вечеринка,Qwizar Wols,02:51,https://zaycev.net/pages/249662/24966278.shtml
electronic,Прослушать XM – Never Gonna Change (Speed Up),XM,02:24,https://zaycev.net/pages/249826/24982688.shtml
electronic,"Прослушать Dmitriy Rs, Shepilov – Love Is","Dmitriy Rs, Shepilov",02:27,https://zaycev.net/pages/249073/24907307.shtml
electronic,Прослушать Subbota – Мороз,Subbota,03:28,https://zaycev.net/pages/249693/24969392.shtml
electronic,Прослушать Красная плесень – Гимн панков,Красная плесень,02:16,https://zaycev.net/pages/248543/24854393.shtml
electronic,Прослушать Various Artists – Дочка,Various Artists,04:24,https://zaycev.net/pages/249994/24999451.shtml
electronic,Прослушать Tsipak KPSS – Dead Car,Tsipak KPSS,02:43,https://zaycev.net/pages/247709/24770928.shtml
electronic,Прослушать Bulgakov – Every Summer (Original Mix)dub (Хиты 2023),Bulgakov,04:07,https://zaycev.net/pages/249296/24929658.shtml
electronic,Прослушать Gorilla Zippo – Friend,Gorilla Zippo,03:38,https://zaycev.net/pages/177842/17784258.shtml
electronic,Прослушать Subbota – На подержанном авто (Remix),Subbota,03:08,https://zaycev.net/pages/249483/24948372.shtml
electronic,Прослушать Стереополина – Про дурочку,Стереополина,04:06,https://zaycev.net/pages/245198/24519824.shtml
electronic,Прослушать Revoльvers – Лети,Revoльvers,03:40,https://zaycev.net/pages/244773/24477393.shtml
electronic,Прослушать Various Artists – Туган кон,Various Artists,03:12,https://zaycev.net/pages/118820/11882077.shtml
electronic,Прослушать Qwizar Wols – Run Away,Qwizar Wols,02:37,https://zaycev.net/pages/249948/24994833.shtml
electronic,Прослушать Biomatrix – Block Brawl 48 (Техно Фонк 2022),Biomatrix,03:19,https://zaycev.net/pages/248845/24884541.shtml
electronic,Прослушать Sundrifting – Hundred Miles for You (Original Mix),Sundrifting,05:12,https://zaycev.net/pages/250059/25005937.shtml
electronic,Прослушать Дельфин – Весна,Дельфин,04:51,https://zaycev.net/pages/67405/6740586.shtml
electronic,Прослушать XM – Can You See (Топ Мелодия На Звонок 2024),XM,00:29,https://zaycev.net/pages/250020/25002051.shtml
electronic,Прослушать DJ Groove – Here We Go Again,DJ Groove,03:31,https://zaycev.net/pages/180091/18009101.shtml
electronic,Прослушать Incode – California,Incode,03:03,https://zaycev.net/pages/249964/24996473.shtml
electronic,Прослушать Qwizar Wols – For My Own (Мелодия На Звонок),Qwizar Wols,00:29,https://zaycev.net/pages/249993/24999309.shtml
electronic,Прослушать XM – India (Мелодия На Звонок),XM,00:29,https://zaycev.net/pages/250032/25003280.shtml
electronic,"Прослушать Nifiant, Incode – My Heart Is Yours","Nifiant, Incode",02:42,https://zaycev.net/pages/249803/24980382.shtml
electronic,Прослушать kyori – blaze,kyori,03:04,https://zaycev.net/pages/249734/24973421.shtml
electronic,Прослушать Incode – Know (Мелодия На Звонок),Incode,00:29,https://zaycev.net/pages/249947/24994792.shtml
electronic,Прослушать ПОДДЕЛКА – Чужое настроение,ПОДДЕЛКА,03:03,https://zaycev.net/pages/249750/24975025.shtml
rap,"Прослушать ALEKS ATAMAN, FINIK – Диалоги тет-а-тет","ALEKS ATAMAN, FINIK",02:59,https://zaycev.net/pages/248800/24880076.shtml
rap,Прослушать Макс Корж – Слово Пацана,Макс Корж,05:14,https://zaycev.net/pages/245116/24511654.shtml
rap,"Прослушать MiyaGi, Эндшпиль, 9 Грамм – Рапапам","MiyaGi, Эндшпиль, 9 Грамм",05:34,https://zaycev.net/pages/248763/24876395.shtml
rap,Прослушать Баста – На заре («Альянс» cover),Баста,05:06,https://zaycev.net/pages/167558/16755858.shtml
rap,Прослушать Дискотека Авария – Два океана,Дискотека Авария,03:54,https://zaycev.net/pages/117756/11775601.shtml
rap,Прослушать MATRANG – Медуза,MATRANG,02:43,https://zaycev.net/pages/246111/24611123.shtml
rap,Прослушать Баста – Моя игра,Баста,04:30,https://zaycev.net/pages/67170/6717082.shtml
rap,Прослушать Макс Корж – Малиновый закат,Макс Корж,02:57,https://zaycev.net/pages/245116/24511639.shtml
rap,Прослушать Various Artists – Asphalt,Various Artists,04:32,https://zaycev.net/pages/247665/24766594.shtml
rap,Прослушать Нурминский – Валим,Нурминский,03:02,https://zaycev.net/pages/159601/15960116.shtml
rap,Прослушать Серёга – Черный бумер,Серёга,04:04,https://zaycev.net/pages/246249/24624932.shtml
rap,Прослушать INSTASAMKA – DADADA,INSTASAMKA,01:44,https://zaycev.net/pages/247739/24773943.shtml
rap,Прослушать Subbota – Иди сюда,Subbota,03:00,https://zaycev.net/pages/249986/24998683.shtml
rap,Прослушать DJ PULYA – ТАНЦЫ (ТАНЦЕВАЛЬНАЯ МУЗЫКА 2024),DJ PULYA,02:35,https://zaycev.net/pages/249804/24980477.shtml
rap,Прослушать Макс Корж – Жить в кайф,Макс Корж,02:56,https://zaycev.net/pages/245116/24511690.shtml
rap,Прослушать Qwizar Wols – Ангел,Qwizar Wols,03:19,https://zaycev.net/pages/249759/24975937.shtml
rap,Прослушать Subbota – Где-то там x,Subbota,02:25,https://zaycev.net/pages/249833/24983381.shtml
rap,Прослушать Тима Белорусских – Незабудка,Тима Белорусских,03:04,https://zaycev.net/pages/248781/24878150.shtml
rap,Прослушать МУЗЫКА В МАШИНУ – ТЫ САДИШЬСЯ В ТАЧКУ,МУЗЫКА В МАШИНУ,02:42,https://zaycev.net/pages/248863/24886304.shtml
rap,Прослушать Tsipak KPSS – Kirat,Tsipak KPSS,05:30,https://zaycev.net/pages/247709/24770929.shtml
rap,Прослушать Мот – День и ночь,Мот,03:08,https://zaycev.net/pages/70342/7034224.shtml
rap,Прослушать Элджей – Drake,Элджей,02:06,https://zaycev.net/pages/249597/24959791.shtml
rap,Прослушать Elvira T – Море,Elvira T,03:37,https://zaycev.net/pages/45388/4538893.shtml
rap,Прослушать Subbota – Гармошка,Subbota,02:26,https://zaycev.net/pages/250129/25012942.shtml
rap,Прослушать Subbota – Женская мантра x,Subbota,02:54,https://zaycev.net/pages/249970/24997017.shtml
rap,Прослушать MATRANG – Заманчивая,MATRANG,03:35,https://zaycev.net/pages/247740/24774058.shtml
rap,Прослушать Баста – Мама,Баста,03:56,https://zaycev.net/pages/67170/6717019.shtml
rap,Прослушать Юлия Беретта – Душа,Юлия Беретта,03:36,https://zaycev.net/pages/249053/24905375.shtml
rap,Прослушать Various Artists – Inplex - Meant to Be  (Original Mix),Various Artists,06:29,https://zaycev.net/pages/249295/24929547.shtml
rap,Прослушать Subbota – Не хочу домой,Subbota,02:21,https://zaycev.net/pages/249342/24934284.shtml
rap,Прослушать INSTASAMKA – ХЛОПАЙ,INSTASAMKA,02:02,https://zaycev.net/pages/247739/24773944.shtml
rap,Прослушать Subbota – Дым бомбим,Subbota,03:31,https://zaycev.net/pages/249342/24934269.shtml
rap,Прослушать Нурминский – Ауфф,Нурминский,03:02,https://zaycev.net/pages/118800/11880060.shtml
rap,Прослушать Макс Корж – Небо поможет нам,Макс Корж,03:30,https://zaycev.net/pages/245116/24511671.shtml
rap,Прослушать kyz9ka – Хаги Ваги,kyz9ka,01:23,https://zaycev.net/pages/248798/24879839.shtml
rap,Прослушать INSTASAMKA – LIPSI HA,INSTASAMKA,02:01,https://zaycev.net/pages/246906/24690653.shtml
rap,Прослушать Клава Кока – Нет проблем,Клава Кока,02:23,https://zaycev.net/pages/250082/25008245.shtml
rap,Прослушать 5sta Family – В июле,5sta Family,03:07,https://zaycev.net/pages/249994/24999415.shtml
